Student_ID,Gender,Age,Department,Attendance_%,Study_Hours_per_Week,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Backlogs,Internship,Scholarship,Sports_Activity,Extra_Curricular,Placement_Status
1,Male,20,CS,59.91,30,80.01,50.94,91.05,90.12,53.15,71.24,49.68,C,0,Yes,No,No,No,Placed
2,Female,24,Mathematics,50.46,31,80.22,75.83,69.48,74.07,91.63,92.86,57.73,F,1,No,Yes,Yes,Yes,Not Placed
3,Male,24,Business,81.36,44,94.07,81.59,59.9,91.05,90.86,78.17,53.01,A,3,Yes,Yes,Yes,No,Not Placed
4,Male,24,Mathematics,65.82,28,40.96,68.11,79.38,91.23,24.97,52.26,98.52,D,0,Yes,Yes,No,Yes,Not Placed
5,Male,21,Engineering,98.66,12,91.18,45.86,91.32,65.86,71.97,90.09,61.78,D,3,Yes,Yes,No,No,Not Placed
6,Female,24,CS,59.69,25,71.26,68.12,52.44,50.22,3.03,52.73,85.68,D,0,Yes,Yes,Yes,Yes,Placed
7,Male,22,Engineering,67.29,33,77.28,44.89,79.85,95.56,13.19,96.72,88.3,A,3,Yes,Yes,No,No,Not Placed
8,Male,20,Engineering,67.89,25,45.48,80.93,82.16,88.03,49.95,60.59,63.16,D,1,No,Yes,Yes,No,Not Placed
9,Male,24,CS,50.42,7,65.96,87.42,80.12,55.36,22.88,74.4,80.96,D,3,No,Yes,Yes,Yes,Not Placed
10,Female,18,Business,91.96,35,53.64,97.74,82.5,85.09,79.83,53.61,46.47,F,2,Yes,Yes,No,No,Placed
11,Male,21,Mathematics,51.6,31,55.25,48.93,81.57,51.0,93.11,78.09,63.82,B,1,Yes,Yes,Yes,Yes,Placed
12,Male,22,Engineering,97.01,31,70.25,71.95,56.52,51.39,0.43,74.86,98.04,B,3,Yes,Yes,No,No,Not Placed
13,Male,18,CS,94.6,13,88.75,74.05,61.75,76.29,23.29,70.51,50.11,B,1,Yes,No,Yes,No,Placed
14,Male,18,Engineering,76.78,37,84.63,95.35,80.95,54.8,43.96,51.78,63.14,D,3,Yes,Yes,Yes,No,Not Placed
15,Female,18,Mathematics,77.18,37,75.46,77.64,50.88,98.22,56.31,93.95,87.43,A,3,No,Yes,No,No,Placed
16,Male,18,Business,82.69,30,72.37,48.73,81.74,94.69,91.59,90.13,79.93,D,1,Yes,No,Yes,No,Placed
17,Female,20,Business,69.35,32,65.64,66.18,83.27,82.49,89.19,81.65,77.89,B,0,Yes,No,Yes,Yes,Not Placed
18,Female,24,Business,82.36,35,98.36,79.29,61.96,53.19,63.72,78.61,91.2,F,0,Yes,Yes,No,No,Not Placed
19,Female,23,CS,52.24,5,73.61,82.02,79.91,66.24,25.74,84.75,41.75,D,3,Yes,Yes,No,Yes,Not Placed
20,Male,20,CS,52.7,24,55.24,91.78,76.7,68.59,78.33,57.2,86.27,D,2,No,No,No,Yes,Placed
21,Female,20,Business,72.86,16,53.81,50.83,63.03,74.04,20.27,96.63,92.95,D,2,No,Yes,Yes,Yes,Not Placed
22,Male,22,Mathematics,77.48,21,76.68,97.09,73.15,58.45,96.52,64.23,40.97,A,3,Yes,No,No,No,Not Placed
23,Female,22,Mathematics,94.39,19,71.37,43.55,95.48,78.88,0.58,82.82,73.54,F,3,Yes,No,No,Yes,Placed
24,Female,24,CS,55.23,38,40.46,99.03,71.33,71.79,56.98,80.34,60.92,F,1,Yes,No,No,Yes,Placed
25,Female,23,Business,91.13,20,89.8,91.47,81.49,97.36,8.84,81.83,43.05,F,2,Yes,No,No,No,Placed
26,Female,22,Mathematics,60.5,8,82.25,79.62,51.77,96.81,40.76,93.95,65.06,F,1,Yes,Yes,No,No,Not Placed
27,Female,24,Mathematics,69.7,12,79.71,84.1,53.89,78.27,63.49,64.8,78.64,B,0,Yes,No,Yes,No,Not Placed
28,Female,24,Mathematics,65.83,38,44.13,44.36,54.07,82.22,68.96,87.45,95.14,D,1,Yes,No,Yes,No,Placed
29,Female,19,CS,70.01,29,61.72,42.49,88.91,56.89,78.56,79.92,77.23,F,3,No,Yes,Yes,Yes,Not Placed
30,Female,23,Business,57.52,19,96.12,46.11,67.51,61.17,59.33,53.8,91.4,C,1,No,No,Yes,No,Placed
31,Male,22,Engineering,75.18,32,91.76,45.24,61.38,95.04,25.13,70.71,47.29,C,1,Yes,No,Yes,Yes,Not Placed
32,Male,23,Business,90.08,13,57.13,72.84,87.37,84.96,88.93,91.9,52.63,B,1,No,No,Yes,Yes,Not Placed
33,Female,20,Business,72.08,6,49.42,52.93,58.5,59.47,81.11,65.77,98.22,C,3,Yes,No,No,No,Not Placed
34,Female,20,CS,74.53,21,66.95,91.61,62.32,78.51,16.01,74.11,93.24,C,3,Yes,No,Yes,No,Not Placed
35,Female,23,Mathematics,92.44,14,61.35,66.74,71.55,96.74,82.65,74.43,54.11,C,2,Yes,Yes,No,No,Not Placed
36,Male,19,Mathematics,85.3,13,80.93,81.73,66.57,67.26,97.26,80.9,77.26,B,1,Yes,Yes,No,Yes,Placed
37,Female,19,CS,74.52,35,97.99,79.17,79.27,59.29,63.72,94.2,61.76,D,0,Yes,No,No,No,Not Placed
38,Male,23,CS,62.88,6,61.78,59.19,66.89,97.1,28.18,58.68,68.12,B,1,Yes,Yes,No,No,Not Placed
39,Male,22,CS,94.25,28,43.73,54.59,69.65,73.06,60.66,75.23,91.65,A,0,Yes,Yes,Yes,No,Not Placed
40,Male,21,CS,78.85,23,93.86,60.55,93.14,70.86,34.25,71.21,84.14,A,2,Yes,No,Yes,No,Not Placed
41,Male,19,CS,61.06,21,42.28,87.8,94.23,63.38,67.59,64.8,54.31,C,1,Yes,No,Yes,Yes,Not Placed
42,Male,18,Engineering,63.46,14,97.17,75.18,91.39,94.58,54.48,95.98,58.96,C,0,Yes,No,Yes,Yes,Not Placed
43,Female,20,Business,90.16,32,79.87,55.21,93.24,92.28,92.95,50.41,57.38,D,1,No,No,No,No,Not Placed
44,Female,23,Business,52.21,42,96.5,89.07,78.49,70.15,61.79,56.11,86.84,C,1,Yes,No,Yes,No,Not Placed
45,Female,18,Business,99.6,32,51.98,43.29,82.31,51.53,21.4,86.67,69.41,A,2,No,No,No,No,Not Placed
46,Female,23,Mathematics,56.52,5,42.44,81.95,77.86,72.33,72.51,63.17,97.04,C,0,Yes,Yes,Yes,No,Not Placed
47,Female,24,Engineering,89.8,7,69.29,66.35,89.28,59.04,30.09,86.16,89.0,D,0,Yes,Yes,No,Yes,Placed
48,Male,20,Business,69.74,19,67.04,83.88,77.55,57.14,27.24,91.61,52.67,A,3,Yes,Yes,Yes,No,Placed
